(-7719,-9191)
(8115,7937)
(-3367,-3767)
(6095,-8515)
(6479,5839)
(-5445,-1351)
(-3673,-4418)
(-7196,-5498)
(-6259,8603)
(1868,-1386)
(804,7339)
(1123,-1208)
(2173,119)
(-9734,6766)
(-2898,3089)
(-5430,2482)
(5795,9427)
(1817,6753)
(-1370,9457)
(3940,4679)
(6173,2565)
(5247,-9092)
(-6173,-5038)
(-3821,2152)
(-3462,-5363)
(-2629,4015)
(-5872,1520)
(-853,-2194)
(-8840,-3066)
(2810,6663)
(2911,-2710)
(-5926,-2608)
(-7474,-5677)
(2309,-7141)
(-1058,9719)
(6100,6568)
(296,6383)
(1273,-7961)
(-8310,4563)
(1062,2621)
(-7048,-1301)
(-1904,-3379)
(9429,4054)
(94,-7381)
(-4641,-499)
(-7072,-1065)
(-3894,-6160)
(611,-2185)
(-2821,4848)
(-4808,2977)
(8171,-9281)
(-3599,-5044)
(8323,7640)
(7906,8542)
(7773,-3924)
(782,-8617)
(-1782,8225)
(-3574,6007)
(-5677,-1555)
(338,22)
(1857,-6989)
(-196,-3450)
(-1359,4468)
(5161,-5347)
(686,3110)
(6036,9422)
(255,2735)
(-6272,397)
(2050,-6192)
(1522,-9066)
(8700,5259)
(-6627,5900)
(-7837,4139)
(-3938,9164)
(1231,-2866)
(-8190,5130)
(-1508,5872)
(-4452,8681)
(7538,8606)
(3409,-4365)
(2261,-6235)
(4687,-6944)
(5548,-8347)
(526,-7337)
(-4240,-5939)
(-9423,1446)
(-2096,9517)
(-4341,-3150)
(-7232,-8051)
(-9994,88)
(6501,5209)
(2021,1803)
(-1373,8973)
(-8209,-5313)
(5550,-1855)
(-7685,-4123)
(-5730,-6417)
(9859,2461)
(-3069,6660)
(-7787,5371)
(4412,-3110)
(4309,6897)
(-7871,6961)
(-5978,-5293)
(8762,-4055)
(2537,-7882)
(-7985,4233)
(2130,-923)
(-3919,-5289)
(9332,-7833)
(-9827,-14)
(-4755,4209)
(-1473,-3198)
(-271,-724)
(-3909,9424)
(-3002,5487)
(-7040,500)
(-4896,-1146)
(-6484,-836)
(-5985,8174)
(7472,-9242)
(-1185,-3641)
(-2568,-1740)
(5088,-2558)
(1239,-2494)
(7946,6866)
(4556,-6588)
(4389,4653)
(9738,-2214)
(8020,8338)
(-2714,-3003)
(1612,-7420)
(6681,5448)
(-4539,-1818)
(3112,-6665)
(-8693,-4959)
(-4421,-5179)
(-4267,6597)
(-5476,7672)
(7626,1994)
(-3654,9241)
(3399,-6607)
(-3849,-6956)
(-8049,-1895)
(-3944,-3402)
(-5055,2699)
(-821,-3847)
(7844,602)
(-6154,-6214)
(-7329,1115)
(-8161,1156)
(-6552,-6499)
(-4367,7199)
(6276,8576)
(-7545,-6227)
(-2719,319)
(-4011,-1639)
(728,1068)
(9489,2520)
(8302,7270)
(4687,4399)
(-1382,-6686)
(-4654,9959)
(1032,2477)
(5912,7351)
(-4188,-375)
(-8203,5821)
(-552,1090)
(-372,-8796)
(5890,7490)
(-7540,-4901)
(-9022,-3649)
(-2227,-4240)
(-5117,-7636)
(8116,-2679)
(-1325,-9321)
(5619,-6770)
(-8440,8972)
(5760,9861)
(9279,-7909)
(8669,6364)
(1165,6487)
(-9778,4375)
(587,9547)
(-5103,639)
(-928,-8309)
(5786,2754)
(-5066,-9122)
(-1191,3247)
(-9870,-410)
(3655,7873)
(1520,-4839)
(7477,7459)
(6231,-3539)
(8655,-7135)
(-7950,-3283)
(8002,4703)
(2020,-7321)
(4193,9454)
(7991,9946)
(2233,-2772)
(-1467,-3214)
(3617,1811)
(-9819,1424)
(-2303,-7354)
(6535,-5714)
(9148,-6796)
(-4654,-6308)
(-6275,5515)
(3221,-4495)
(4300,-2028)
(7250,-1834)
(-2207,-2888)
(-9227,2798)
(-6562,3828)
(575,4162)
(3137,6497)
(8569,3864)
(5909,5373)
(-3897,7493)
(2223,-9645)
(7305,240)
(4835,-6024)
(2967,9438)
(4379,7831)
(3168,4363)
(3368,-713)
(-8760,-2292)
(-5774,4088)
(-1342,-4919)
(1535,-1845)
(-7217,-9409)
(5089,-2533)
(4863,5113)
(-7820,5865)
(6994,-9704)
(573,1581)
(-4872,5840)
(3553,1838)
(-5676,-7922)
(-611,-5190)
(-6367,-7518)
(-8749,9259)
(-848,-2989)
(6535,4139)
(6071,6570)
(-1911,-9345)
(3486,-9830)
(5830,-804)
(3858,7056)
(-2158,1518)
(-6987,9421)
(-9167,2536)
(2861,4966)
(7063,-5096)
(4366,5286)
(660,7206)
(-9431,1775)
(9567,3254)
(6764,-5181)
(1072,-9378)
(1642,-7736)
(8207,4628)
(1003,8419)
(-1505,-3265)
(7425,-9722)
(-5513,2198)
(-5422,4305)
(2327,-1215)
(-5111,4841)
(5091,9879)
(7251,4810)
(-4260,-397)
(2676,2590)
(7245,-4689)
(6270,1130)
(113,-6021)
(2374,5077)
(8468,3191)
(-5046,9752)
(-227,5764)
(-4620,4944)
(7067,4062)
(8512,-8105)
(-5275,1225)
(3381,-8761)
(-5935,5907)
(3139,-1334)
(7787,-5228)
(-2743,2865)
(4180,5409)
(-6284,4803)
(2615,7108)
(-4305,-8982)
(-1841,-2333)
(9734,191)
(7792,-7965)
(-3688,9164)
(-1512,-7535)
(7781,8745)
(3915,1629)
(4755,5540)
(3383,-9297)
(769,6727)
(7599,7328)
(7943,-7275)
(1370,-5453)
(-7277,1994)
(4215,5126)
(-4963,4169)
(9855,-5650)
(1069,-7345)
(-8431,-6972)
(8339,-4704)
(1916,-3144)
(-6767,-4044)
(-3744,3930)
(3296,-8475)
(2713,706)
(2971,-8498)
(9126,-7217)
(-3184,-6630)
(1200,-6078)
(8842,1525)
(376,8389)
(2343,1575)
(-8180,-3385)
(881,-1852)
(8207,8986)
(4593,4054)
(-5920,3326)
(2768,8609)
(-1096,9503)
(5850,-9246)
(1976,-7340)
(6297,-1125)
(-7470,765)
(4945,-9588)
(6837,2675)
(-9398,-4116)
(6440,927)
(-7570,-3541)
(-6777,-2028)
(-7583,-1761)
(-7292,-5820)
(-4732,-803)
(-3917,-2829)
(-505,-245)
(9005,7257)
(4671,-2457)
(-8419,-2801)
(-2494,-3336)
(-354,3160)
(-9914,-4743)
(3711,-3297)
(-9577,5305)
(8079,-2070)
(-6436,-6933)
(3407,1801)
(1113,-6552)
(-5567,8939)
(7131,6834)
(8193,6463)
(1462,-5361)
(6297,1140)
(2738,-8106)
(-1160,-8430)
(1228,3131)
(7275,-4002)
(2097,3112)
(6053,7067)
(-6731,6862)
(-3568,2898)
(-1061,-6372)
(-3518,-3401)
(6416,1509)
(8413,-2098)
(-675,9547)
(4400,1665)
(-3673,-7318)
(-5582,-9442)
(-5577,-7425)
(-4711,1167)
(3598,-5041)
(7443,4404)
(9738,-6429)
(-8836,-7221)
(9111,102)
(6661,3550)
(2877,6589)
(-8704,1136)
(-1156,9866)
(-2244,-1670)
(-3952,-5358)
(-4808,8650)
(2209,-3367)
(-8926,7249)
(4290,-5094)
(6710,-4284)
(4177,8572)
(-3759,3005)
(-3750,-6098)
(395,1147)
(-5113,-1996)
(8588,-2168)
(6579,5822)
(4491,6971)
(5254,-2724)
(8217,-1862)
(13,265)
(-9987,4254)
(6791,5354)
(4624,-1404)
(-3707,1317)
(-8652,7629)
(1410,7371)
(1966,-8009)
(6253,7073)
(6359,5212)
(-3722,-338)
(4946,-7344)
(7359,-9076)
(364,-5153)
(-2119,-6236)
(5810,-8891)
(-1784,-620)
(-1789,8168)
(-4988,-5644)
(9437,9707)
(3080,6270)
(-8653,-9130)
(4666,-4179)
(2795,-2042)
(-9831,5675)
(9820,-7446)
(4921,743)
(-6437,7282)
(-8657,-5404)
(7042,-9324)
(6657,-5488)
(-8761,1673)
(7413,2802)
(-6858,5622)
(7561,8546)
(-343,5339)
(4527,7419)
(6880,4966)
(3903,-5297)
(9937,4976)
(-1315,-6127)
(-5870,6178)
(9750,-1072)
(-8717,6716)
(6755,-2327)
(4785,1293)
(9851,-7737)
(-5435,856)
(-2551,-113)
(-9644,3434)
(-522,-711)
(9097,-8366)
(-1003,-6651)
(3185,3764)
(108,-1210)
(-5630,4396)
(-7450,-283)
(5169,-1592)
(-5101,-3998)
(5942,1491)
(-4450,4655)
(-5058,8321)
(1045,2718)
(-1514,9442)
(164,-555)
(7566,1149)
(-1087,5625)
(-5392,-8193)
(9885,9313)
(5970,-5349)
(-7322,-7760)
(-1747,-5763)
(-316,9074)
(-2357,2728)
(-420,1135)
(8475,-900)
(-2292,-7632)
(-2857,4649)
(6399,-7172)
(4073,-4860)
(9717,141)
(-3690,-7358)
(-827,6834)
(-7955,-3994)
(-5926,3174)
(-3685,2198)
(-9422,3432)
(-4430,7738)
(-547,2424)
(-6852,-3215)
(6071,6964)
